Word,Part of Speech,Definition,Grammar information:
áyalwasa',noun,"skillet, frying pan",
áyamúheme',noun,"habit, custom, tradition",
áyása',noun,"place where three or more dwell: a community, settlement, village, etc",
áyásah,verb,"(three or more) to live, dwell","intransitive, triplural"
áyaswa',noun,place where two dwell;,
áyaswah,verb,"(two) to live, dwell",intransitive
áyatcéfa',noun,"place where one washes: washbasin, washing machine, etc.",
áyatta',noun,"place where one dwells: a residence, dwelling, place of birth;",
áyattah,verb,"(one) to live, dwell, stay",intransitive
áyékalanna',noun,"the middle of (a table, lake, event, fight, etc.), the center of; the half of (a cake, etc.)",
áyékalannah,verb,"to be in the midst of, get in the middle of",stative
áyekbe',noun,"place where things are made: factory, etc.",
áyekhana',noun,"knowledge, any place of knnowledge or learning: home school, college, school, museum, etc. (also áyelhhana)",
áyelbassa',noun,"place of torment: hell; place of poverty, point of poverty (in one's life)",
áyemmah,verb,"p. about (a topic), concerning","transitive, location marker"
áyemmeka',noun,"something believed in: a belief, faith",
ayéna',noun,mother,Class II possession
ayéna' duba',noun,step-mother,
áyennih,verb,"(one) to warm oneself at (a stove, etc.) (older word)","transitive, location marker"
áyẽpa',noun,"place where one eats: a table, restaurrant, caferteria, etc.",
áyẽpa' tcukka',noun,"cafe, restaurant",
ayése',noun,sun; month,
áyese',noun,"place where one takes hold: steering wheel, handle, haft, etc.",
ayése' ákutcáka',noun,"east, where the sun rises",
ayése' áyukattula',noun,"west, where the sun goes down",
ayése' áyukattuláka',noun,"west, westward",
ayése' dúme',noun,"sunshine, sunlight",
ayése' kanalle',noun,time; o'clock; hour (with a number),
ayése' kanalle' estekhana',noun,"clock, watch",
ayése' kutca',noun,sunrise,
ayése' ninak,noun,moon,
ayése' ninak alúta',noun,full moon,
ayése' ninak bulukta',noun,full moon,
ayése' ninak dúekéle',noun,moonlight,
ayése' ninak ékelanna',noun,half moon,
ayése' ninak emúna',noun,new moon (also ase emúna),
ayése' ukettula',noun,sunset,
áyeskah,verb,"to fix (a car, a watch), repair, regulate, reconcile, prepare (food)",transitive
áyesku',noun,"place where one drinks: a bar, pub, watering place",
áyestahullu',noun,"place or instrument of witchcraft, a place that is haunted; a supernatural event",
áyestáyullutceh,verb,to perform a miracle,transitive
áyeswah,verb,"to sniff, smell (perfume, etc.), inhale",transitive
áyettadúba',noun,"place to trade: store, trading post, market, shop",
áyettafáma',noun,meeting place,
áyettanáha',noun,"meeting place, gathering place; church",
áyettebe',noun,"place where one fights: a battlefield, boxing ring, etc.",
áyũbeníle',noun,chair,
áyũbeníle' faláya',noun,sofa,
áyũbeníle' yuskulúle',noun,"small couch, love seat (new term)",
áyũdaláya',noun,"shelf, a site",
áyũdulle',noun,"place where one jumps repeatedly: a trampoline, etc.",
áyũduluble',noun,"place where one jumps: a diving board, etc.",
áyũfayúkatce',noun,rocking chair (older term),
áyufúbe',noun,"deep place, abyss, chasm",
áyuka',noun,jail,
ayukah,verb,to be each,stative
áyúkele',noun,"place for holding: a handle (on a bucket, etc.), strap, hilt, haft, etc.",
ayúkeleh,verb,"to be pretty, handsome, beautiful",stative
áyukéme',noun,"basin, washbasin",
áyuklheléka',noun,place where it is dark,
ayukpah,verb,to benefit from (something),transitive
ayukpatceh,verb,"to greet, shake hands, praise, honor (someone), accept",transitive
áyukpulu',noun,bad place,
áyukpulúka',noun,bad place: hell,
áyúkula',noun,"people, tribesmen, nation, settlement, relatives, descdendants",
áyulábeh,verb,"to tell a lie about (someone), slander",intransitive
áyulábeh,verb,to tell a lie about (someone),the object of lying is not a direct object
áyulessutce',noun,"desk, slate",
áyulessutce' ata',noun,white dry erase board (new word),
áyulessutce' lúsa',noun,"blackboard, chalkboard",
áyulhte',noun,fireplace,
áyulluppe',noun,"place where one is buried: grave, graveyard, cemetery, burial plot",
áyunah,verb,(three or more) to arrive there,"intransitive, triplural, location marker"
ayũntalále',noun,dewberry,
áyupe',noun,"place where one bathes: bathtub, washtub, shower, pool, etc. (sp. var. ayyupe)",
áyúpesa',noun,"place to observe: theater, etc.",
áyupúni',noun,"place where one cooks: a kitchen, stove, etc.",
áyustah,verb,to be fourth,stative
áyũtcanalle',noun,"what something rolls on: a rail, etc.",
ayútce',noun,"epilepsy, a seizure",
ayútceh,verb,"to have a seizure, a fit, convulsion, to be rabid",stative
áyũtculúle',noun,"descendant, offspring, offshoot (of a plant, etc)",
áyuyya',noun,"place where something drips: a sieve, filter, eaces, etc.",
ayyabeh,verb,"to be worse, heightened, impaired",stative
ayyabétceh,verb,to make (something) worse,transitive
ayyẽhtce',noun,kidney,
ayyẽhtce' dale',noun,kidney stone,
ayyep,noun,"pond, farm pond",
ayyuah,verb,to pick (two or more),"transitive, triplural"
ayyukáleh,verb,"every, each",stative
ayyũkpulu',noun,"weed, herb, plant",
ayyúkumah,verb,"to be confused, mixed up, puzzled",stative
ayyup,noun,twins,
baha',noun,"jab, stabbing",
baháfah,verb,to be gored once,stative
bahaffeh,verb,"to stab, gore (someone) once",transitive
bahah,verb,to be gored more than once,stative
baháleh,verb,"to gore (someone) more than once (as of a bull), jab, thrust",transitive
bahta',noun,"n.bag, sack (generally a large burlap sack for corn)",
bahta' bãtcu',noun,"a tow sack, burlap sack",
bakbak,noun,woodpecker,
bakúah,verb,to be spotted,stative
bakúatceh,verb,to make (a wall) spotted,transitive
bala',noun,pole beans,
bálafukka',noun,"pants (also ulbala fukka, balafukka, ulbala fukka",
bálafukka' dapa',noun,"cut offs, shorts",
baláleh,verb,"to crawl, creep, grovel",intransitive
balámah,verb,"to smell (good or bad), have an odor or aroma, be scented, perfumed, smelly, fragrant",stative
balámatceh,verb,"to perfume, scent (something)",transitive
Balbãsa',noun,New Orleans,
balẽ^leh,verb,"to be idling (of one car, etc)",intransitive
baléleh,verb,(one) to run,intransitive
baléletce',noun,manager,
baléletceh,verb,"to start (a car, etc), run (a business), drive (a car)",transitive
balup,noun,slippery elm,
banáha',noun,shuck bread,
banatha',noun,wave (of water),
bannah,verb,"to want, desire","stative, but takes a direct object"
baptesmu',noun,baptism,
baptesmutceh,verb,to baptize (someone),transitive
basah,verb,"to be cut, sliced",stative
basak! átceh,verb,"to make a munching, crunching, snapping, or cracking sound.",intransitive
basákatceh,verb,"to snap, crack repeatedly (as trees snapping with weight of ice), munching repeatedly, crunch (ice, etc), to crackle, pop (of burning wood, etc)",intransitive
basáleh,verb,to make (someone) suffer,transitive
baseh,verb,"to wither, welt",intransitive
baska',noun,gambler,
baskah,verb,to gamble,intransitive
basleh,verb,"to cut, slash, slice (someone or something)",transitive
bastu',noun,overcup oak,
basúah,verb,"to be striped (like a zebra or watermelon), streaked",stative
basúah,verb,"striped, streaked",stative
batcã^yah,verb,"(one) to be lying lengthwise, be lying stretched out or in a line.",intransitive
batcáleh,verb,"to lay (a stick, a log, etc.) lengthwise, spread (something) in a straight line.",transitive
batcáya',noun,"a row, line",
batcáyah,verb,"1. (one) to lie in a prone position
2. (one) to be in a line or row",intransitive
batcũ^hah,verb,"(two) to be lying lengthwise, be lying stretched out or in a line",intransitive
batcúhumã^yah,verb,"(3 or more) to be lying lengthwise, be lying stretched out or in a line","intransitive, triplural"
bayye',noun,white oak,
bẽ^ka,verb,"each, both, like, of the same kind","stative-subject, N Grade"
be^lleyah,verb,"to do (an action) always, forever, continually, eternally, perpetually, regularly","stative, G Grade"
be^yyekah,verb,"become the same, always","stative, Y Grade, used for habitual"
béheleh,verb,"to jab more than once, prick, wound, injure feelings, point at",transitive
bekubleh,verb,"to bud, put out buds, put out a shoot.",intransitive
bela',noun,"1. lard, grease, cooking oil
2. wax
3. oil, gasoline",
bela' apa',noun,cockroach,
bela' aséla',noun,gravy,
bela' lúsa',noun,"black oil: crude oil, etc",
belah,verb,"to melt (of butter, ice, etc.), dissolve, thaw, liquefy",intransitive
belẽkah,verb,"to be near, near by, close by",stative
beléleh,verb,"to melt (butter, ice, etc), cause to melt, dissolve, thaw",transitive
be^lléyah,verb,to be forever,intransitive
belhebleh,verb,to point,intransitive
belhebletceh,verb,"to make, point out, indicate.",transitive
belhkã',noun,"nasal mucus, phlegm, nasal discharge",
benah,noun,"camp, camphouse (building at a church ground where meals are prepared), lodge",
benĩ^leh,verb,(one) to be sitting,"intransitive, N grade"
beníleh,verb,"(one) to sit down, perch, settle",intransitive
beníletceh,verb,"to seat (one), place",transitive
benúheleh,verb,(3 or more) to sit down,"intransitive, triplural"
benúhelétce',noun,"someone who seats people, usher, etc.",
benúhelétceh,verb,"to seat (2 or more), place on a seat, settle","intransitive, plural"
benúhumã^yah,verb,"(3 or more) to be sitting around, be seated (of living things)","intransitive, triplural"
beskenik,noun,type of small woodpecker (possibly yellow-bellied sapsucker),
beskukuk,noun,American robin,
beskumak,noun,cardinal,
bestceh,verb,"to milk (a cow, etc)",transitive
beta',noun,"head scarf, head band, turban, silver band",
betcah,verb,"to be poured (of water, etc)",stative
betcéleh,verb,"to pour (coffee, etc out of a spout)",transitive
betcúfah,verb," bent (of one nail, etc)","stative, singular"
betcuffeh,verb, to bend (one),"transitive, singular"
betcúhah,verb,"bent (of 2 or more, as of nails)","stative, plural"
betcúheleh,verb, to bend (2 or more),"transitive, plural"
betéleh,verb,"to tie or put on (a ""beta'"", head scarf, headband, turban, something around the head)",transitive
betépah,verb,to press down on with the hand or finger,transitive
beyãkak,noun,hawk,
beyũku',noun,strawberry,
búah,verb,"to be beaten, pounded, hammered, mauled","stative, plural"
búheleh,verb,"1. to place (one pencil, etc)
2. to store, deposit (money in bank)",transitive
buhpuleh,verb,"to throw carelessly, toss, fling, sling","transitive, plural"
búk,noun,"river, stream",
Búk Tcetu',noun,"Bokchito: a town in Bryan County, Oklahoma (from bok 'river' + chito 'big')",
búk use',noun,"creek, a stream, branch, small river, brook",
búk use' uke',noun,creek water,
búk use' yanalle',noun,running out flowing creek,
bukáfah,verb,"to burst, pop once, explode (of a balloon, etc)","Intrasitive, singular"
bukaffeh,verb,"to pop (a balloon, blister, etc) once, burst","transitive, singular"
bukáhaleh,verb,"to pop repeatedly (of firecrackers, popcorn, a machine gun, etc)","intransitive, plural"
bukáhalétceh,verb,"to pop (popcorn, etc) repeatedly","transitive, plural"
bukku',noun,"mound, knoll",
Búkuse',noun,"Bokoshi: a town in Le Flore County, Oklahoma",
búleh,verb,"to pound, hit (a ball, etc), beat (with a hammer, bat, club, etc)","transitive, plural"
bulukta',noun,circle,
buluktah,verb,"to be round (like a plate), circular",stative
bunah,verb,to be rolled up,"stative, plural"
bunnih,verb,to roll up,"transitive, plural"
bunulleh,verb,"to roll up (a sleeping bag, cigarette, etc)","transitive, singular"
bunũtah,verb,"to be rolled up (of a sleeping bag, etc)","stative, singular"
busleh,verb,"to wring out (wet clothes, etc)",transitive
busulle',noun,"small pieces, bits, crumbs, fragments",
busulleh,verb,"to be broken up (of rocks, corn, etc), broken down (of a dollar bill)",stative
busulletceh,verb,"to break (something) into pieces, break (something) down, make change (for a large bill)",transitive
buta',noun,"powder, flour",
buta' satammetcet daha',noun,self-rising flour,
buta' suktca',noun,flour sack,
butah,verb,"to be pulverized, ground fine like cornmeal or coffee, powdered",stative
butúleh,verb,"to grind (corn), pulverized, crush (crackers), pound fine",transitive
buyáfah,verb,"to shed hair, shed feathers, molt",intransitive
buyaffeh,verb,"to remove (hair, feathers, skin, antlers) by rubbing",transitive
buyáhaleh,verb,"to lose hair, shed hair, molt",intransitive
dabe',noun,"cane, walking stick, staff",
dableh,verb," to cut off, break, pinch off (of dough)","transitive, singular"
dabúkule',noun,noon,
dabúkule' elẽpa',noun,lunch,
dãfula',noun,boiled hominy dish,
dahah,verb,"to come to an end, conclude, be finished, used up, empty, all gone, depleted, be completely (in a state)",stative
dáhaleh,verb,"to finish (doing something), complete, conclude",transitive
dahpalah,verb,"to yell, shout, call out, scream",intransitive
dahtce',noun,shoulder,
dahtce' funi',noun,shoulder blade,
dahtuleh,verb,"to dust, dust off (a table etc.), shake off",transitive
dakã^leh,verb,"(one) to be hanging (on a branch, hook, etc.)","stative, N Grade"
dakaffeh,verb,"to dip (water, etc)",transitive
dákalah,verb,"to be with, among, to be cheap, reasonably priced",stative
dákalátceh,verb,"to bring this way, to reduce the price, bring lower",transitive
dakáleh,verb,"(one) to hang, stick, be stuck (of a window, etc)",intransitive
dakáletceh,verb,"to hang (one picture, coat, etc), hang (someone on a cross)",transitive
dakbah,verb,"to be bitter, astringent",stative
dakbatceh,verb,"to make bitter, astringent",transitive
dakkũ',noun,"peach, apple (depends on dialect)",
dakkũ' ape',noun,peach tree,
dakkũ' malhúfa',noun,peaches,
dakkũ' tcetu',noun,apple,
dakkũ' use',noun,plum,
dakkũ' use' walakse',noun,plum dumplings,
dakkũ' walakse',noun,peach dumplings,
daktceh,verb,"to tie (a string, etc), bind",transitive
dakũ^heleh,verb,(two) to be hanging (nasal form),intransitive
dakúhelétceh,verb,to hang (two or more),"transitive, plural"
dakúhumã^yah,verb,(three or more) to be hanging (nasal form),"intransitive, triplural"
dalã^yah,verb,(one) to be setting (of something with a base),intransitive
daláleh,verb,"to set down (one item with a base, like a glass, cup, plate, box, etc)",transitive
dale',noun,"rock, stone, metal, iron",
dale' ata',noun,"silver, silverware, silver items (jewelery, etc)",
dale' áyanũpule',noun,telephone,
dale' áyettemánũpule',noun,telephone conversation,
dale' áyupúni',noun,cook stove,
dale' ena',noun,"railroad tracks, railway",
dale' estasána',noun,"screw, lock",
dale' fabassa',noun,"wire, any slender round piece of iron",
dale' kallu',noun,steel,
dale' lákana',noun,gold coins,
dale' patalhpu',noun,stone or cement floor/bridge,
dale' tcusúpa',noun,chain,
dale' úla',noun,bell,
dale' ulessu',noun,"money, silver dollar, paper money, bill",
dale' ulessu' lákana',noun,gold coins,
dale' ulessu' pukkúle',noun,ten-dollar bill,
dale' ulessu' súle',noun,treasurer,
dale' ulessu' tcaffa',noun,one-dollar bill,
dalhépa' sepúkeni',noun,thousand,
dalhépah,verb,hundred (used with a numeral,intransitive
dalhlhá^peh,verb,to be five,stative
dallaktceh,verb,"tied, to be tied",stative
dalũ^hah,verb,(two items with a base) are sitting,intransitive
dalúa',noun,"song, singer,",
dalúah,verb,"to sing, chant",intransitive
dalúhumã^yah,verb,(three or more items with bases) are sitting,"intransitive, triplural"
dalúleh,verb,"to set, place (two items with bases)",transitive
dalũsek,noun,pebble,
damáha',noun,town,
damáha' tcetu',noun,city,
damáha' use',noun,"small town, community, village",
damúah,verb,"(two or more) to disappear, go missing, get lost, go astray","intransitive, plural"
danakbeh,verb,"to be crooked (of a nail), bent, hooked, curved",stative
danakbetceh,verb,"to bend (a spoon, bow, etc)",transitive
danap,noun,"war, turnip (stress on first syllable)",
dánih,verb,"to get up (from a lying position), rise",intransitive
dannap,noun,"p. on the other side, across",
danũpa',noun,"gun, blowgun",
dapah,verb,"to be cut off cleanly, cropped, bobbed",stative
dapaskeh,verb,"thin (like a ribbon), to be thin, dilute",stative
dapasketceh,verb,"to thin (something), dilute",transitive
dapúsek,noun,basket,
dasáhah,verb,"to yell, shout",intransitive
dasẽbu' áyása',noun,mental institution (new word),
dasẽbu' estabéka',noun,rabies,
dasẽbuh,verb,"crazy, wild, to be wild, crazy, rabid",stative
daska',noun,warrior,
daska' sepúkeni',noun,veteran (new word),
daska' tcepúta',noun,soldier,
daskeh,verb,"to lie down (of a person), recline",intransitive
dãtce',noun,corn,
dãtce' aksup,noun,corn husk,
dãtce' ape',noun,"corn stalk, corncob",
dãtce' batcáya',noun,row of corn,
dãtce' bela',noun,corn oil,
dãtce' bukáhali',noun,popcorn,
dãtce' labúna,noun,hominy,
dãtce' laktce' aséla',noun,cooked grits,
dãtce' nihe',noun,"corn kernel, corn seed",
dãtce' palaska' awasku',noun,sour cornbread,
dãtce' ulhpuni',noun,corn soup,
dãtceni',noun,"corn flour, corn meal",
dãtcfutúha,noun,corn meal,
dayek,noun,woman,
dayektce',noun,wife,
dé',noun,tea,
deballe',noun,mistake,
deballeh,verb,"to miss (a ball, mark, target, etc), misunderstand, hit and glance off",intransitive
déheleh,verb,"to pluck (feathers, weeds, hair etc)",transitive
dék,noun,"female (human, animal, etc)",
dék use',noun,girl,
dekábeh,verb,"to be tired, worn out, fatigued, weak, weary",stative
dekba',noun,"front, one that came before, original, ancestor",
dẽkba',noun,"ahead, first",
dekba' ã^ya',noun,predecessor,
dekba' ekéya',noun,leader,
dekbãleh,verb,"early (arriving), ahead, first (in time, in line), forefathers",stative
dekéleh,verb,"to put (something) up against (something), press, support, prop",intransitive
dekéletceh,verb,"to cause (something) to be against (a wall, etc)",transitive
delháyah,verb,(two) to run,intransitive
delhúfah,verb,"to be sprained, disjointed",stative
delúfah,verb,"to break off (of a branch, etc) snap off",intransitive
demékatceh,verb,"to throb (of one's heart, one's head), beat (as of a drum), pound, is blinking",intransitive
depékatceh,verb,"to pound (of the heart, etc)",intransitive
deppẽhah,verb,to tap lightly,transitive
dese' ume',noun,pepper (usually black pepper),
dese' ume' lúsa',noun,black pepper,
dese' ume' uktcamále',noun,green pepper,
dese' ume' uma',noun,red pepper,
desẽba',noun,December,
deséleh,verb,"to scatter, disperse, dismiss, adjourn",intransitive
dẽskela',noun,blue jay,
desu',noun,"servant, valet, escort, waiter, server",
dewah,verb,to be open,stative
dewátceh,verb,to stir (something),transitive
dewweh,verb,"to open (a door, the mouth), unlock",transitive
deyableh,verb,"to take apart, tear down, scatter (a bunch of marbles, poolballs, etc)",transitive
deyak sua',noun,Virginia snakeroot,
deyápah,verb,"to fall apart (of a car, etc), to scatter (of birds, etc)",intransitive
deyása',noun,chair,
deyása' wenákatce',noun,rocking chair,
dua',noun,ball,
dualhkuh,verb,toasted,stative
dualhkutceh,verb,"to brown, toast (bread, etc)",transitive
dubah,verb,"to become (something), to be made, created",intransitive
dubakse',noun,"charcoal, coal, coals",
dubátceh,verb,"to create, beget (a child), start (a fire, etc)",transitive
dube',noun,"beans, peas",
dube' abelhlha',noun,pole beans,
dube' ata',noun,"white beans, Great Northern beans",
dube' balalle',noun,green beans,
dube' lúsa',noun,black beans,
dube' niskẽ' lúsa',noun,black-eyed peas,
dube' sawwa',noun,bush beans,
dube' tcektceke',noun,type of speckled beans,
dube' uma',noun,"pinto beans, red beans",
dubleh,verb,"to push (a car, door, etc)",transitive
dubúkatceh,verb,"to gurgle softly, bubble (as water over a rock)",intransitive
dufah,verb, to spit,"intransitive, singular"
duffa',noun,Summer,
duffahpe',noun,Spring (season),
duftuah,verb, to spit more than once,"intransitive, plural"
duhe',noun,"cabbage, kale",
duhtu',noun,elm,
duhwekéleh,verb,"to shine, give light, radiate light",intransitive
dukáfah,verb," to fire (of a gun), explode","intransitive, singular"
dukaffeh,verb," to fire once (of a gun), go off, discharge","transitive, singular"
dukáhaleh,verb," to go off, shoot, fire (of guns)","intransitive, plural"
dukáhalétceh,verb," to shoot off (fireworks, guns, etc), fire off, repeatedly make the sounds of explosions","transitive, plural"
dukhãtu',noun,"dirt dauber, mud dauber",
duksale',noun,"worker, job",
duksaleh,verb,to work,intransitive
dúkuluh,verb,two,stative
dulleh,verb,"to hop, jump repeatedly (as of a rabbit or horse)","intransitive, plural"
dulubleh,verb,"to jump once, leap",intransitive
dulũkulúha',noun,"gobbler, turkey (euphemism)",
dúmeh,verb,"to shine (of the sun), be shining",intransitive
dunnuleh,verb," to roll (of a ball, etc), roll over","intransitive, plural"
dunnulétceh,verb," to cause (a ball, log, tire, etc) to roll","transitive, plural"
dunulleh,verb," to roll (of a ball, etc), roll over","intransitive, singular"
dunulletceh,verb," to cause (a ball, log, tire, etc) to roll","transitive, singular"
dupa',noun,bed,
dupa' sále',noun,daddy longlegs,
dusáfa',noun,"smaller piece of a whole (whether cut, broken, etc), part",
dusaffeh,verb,to break off a piece,"transitive, singular"
dusáletceh,verb,to break (something) into many pieces,transitive
dusbeh,verb,"rotten (of wood, a tooth), decayed, to rot, decay, be rotten",stative
dũspah,verb,"to be quick, fast, to rush, hurry",intransitive
Dúste',noun,Tuesday,
dusúleh,verb,"to interpret, translate, explain, pour out, empty, transfer",transitive
dutctcé^nuh,verb,three,stative
ẽ^seh,verb,"to have, bear, possess (something), wear (eyeglasses), be using, carrying.","transitive, N grade"
ebáyanih,verb,"to add (spices, etc.) to, infuse, pour into a vessel","transitive, comitative"
ebayye',noun,nephew,
ebbak,noun,hand,Class II possession
ebbak afábe',noun,left hand,Class II possession
ebbak aska',noun,wrist,Class II possession
ebbak ayéna',noun,thumb,Class II possession
ebbak estẽpa' emma',noun,right hand,
ebbak ẽsũkani',noun,"elbow, funny bone",Class II possession
ebbak fukka',noun,glove,
ebbak pákana',noun,back of the hand,Class II possession
ebbak use',noun,finger,Class II possession
ebbak use' fukka',noun,"ring (for a finger), thimble",
ebbaktcus,noun,fingernail,Class II possession
ebeh dék,noun,niece,
ebékuah,verb,to have a nose bleed,stative
ebékuleh,verb,to give (someone) a nose bleed,transitive
ebésákani',noun,"nose, snout, trunk, bill or beak (of a bird)",Class II possession
ebésákani' tceluk,noun,"nostril (also ebétceluk, ebéhtceluk)",Class II possession
ebessanu',noun,"cold, a runny nose",
ebessanuh,verb,"to have a cold, have a runny nose",stative
ebétableh,verb,"to stumble, trip, stub",intransitive
ebétabletceh,verb,"to make (someone) stumble (physically, emotionally, or spiritually), trip (someone)",transitive
ebétákala',noun,forehead,Class II possession
ẽdakúbeh,verb,"lazy;
to be lazy (as in tired or weary)",dative
effeyúpa',noun,"breath; life (also effeyúpak, elhfeyúpak)",
effuka baléle',noun,high blood pressure (also ekfuka baléle),
effuka',noun,internal organ (in the body); stomach (the organ) (also ekfuka),Class II possession
effuka' uttupa',noun,stomach-ache (also ekfuka uttupa),
ẽheyah,verb,"to be scolded, reprimanded (includes the nasal marker ẽ-)",intransitive
ẽheyatceh,verb,"to scold (someone), reprimand (someone)",transitive
eka',noun,gum,
ekah,verb,"(one) to fly, to take a step, step off",intransitive
ẽkãna',noun,"friend (includes the nasal marker ĩ-);
kindness, grace",
ẽkãnah,verb,"to be nice, kind, supportive, be friendly to (someone), befriend","transitive, object takes dative marker"
ẽkaníhemeh,verb,"to be doing better (after an illness), feel better (includes the nasal marker ẽ-)",intransitive
ekanũpú^lu',noun,someone who does not speak or is mute,
ekápe',noun,gum tree,
ekayúkú^luh,verb,"ugly, not pretty, not handsome, not beautiful","stative, L grade"
ekayyú^buh,verb,"to be not good, not excellent, not well (gram. var. ek eyyumbu)","stative, L grade"
ekbeh,verb,"to make (food, a toy, crafts), build (something)",transitive
ekẽ^yah,verb,"(one) to be standing, to be stopped, parked (of one car, etc.); to be (used to describe the weather)","intransitive, N grade"
ékelanna',noun,"middle, center, midway, halfway; half",
ékelannatceh,verb,to divide in half,transitive
ekhanah,verb,"to learn, acquire knowledge",transitive
ekhanãtce',noun,"teacher, instructor, facilitator, trainer (also nán ekhanãtce)",
ekhanátceh,verb,"to teach (someone), inform, educate (also ethanátceh)",transitive
ekkese',noun,his/her chest,Class II possession
eklá^wwuh,verb,to be unequal,"stative, L grade"
eksa',noun,clan; denomination; a Christian,
eksa' apélatce' alhtuka',noun,"elder of the church, deacon, elected officer in the church",
eksa' péhelétce',noun,"an elder, pastor, missionary, deacon",
eksetú^puh,verb,"to be handicapped (physically or mentally), crippled, etc.","stative, L grade"
eksuh,verb,"for there to be none, to be gone, absent, not present; deceased, late",stative
eksutceh,verb,to make (something) disappear,transitive
ekũla',noun,"neck, throat",Class II possession
ekũla' ape',noun,"trunk of the neck, bottom portion of the neck",
ekũla' estdallaktce',noun,necktie,
ekũla' satále',noun,"mumps, swollen neck",
ẽlah,verb,"1: different, other, strange, odd
2: to change, vary, alter","1: stative
2: intransitive"
eláhubbe',noun,hypocrite,
eláhubbeh,verb,"to pretend, try, attempt",intransitive
elappa',noun,"dem. this, these (also pã gram var. elappã)",
ẽlatceh,verb,"to change (a word, etc.), make it different, restore, rebuild",transitive
elátubah,verb,"to save (money), preserve for future use",transitive
eláwatah,verb,"to be proud, boastful","stative, refl."
eláwéleh,verb,"to take (someone) along, lead along, govern, conduct, guide","transitive, singular
ele + aa + wele"
elawwéle',noun,"companion, guardian, guide",
elbasátce',noun,"punisher, tormentor, oppressor",
elbasátceh,verb,"to punish, torment, bully, afflict",transitive
elbassa',noun,"poverty, misery, suffering, afflication, trouble, indigence",
elbassah,verb,"to be poor, wretched, miserable, destitute, troubled, depressed, distressed, degraded; to mourn, suffer (from poverty, illness, loneliness, etc.)",stative
éle',noun,n mulberry,
éle' ape',noun,n mulberry tree,
elébe',noun,suicide,
elébeh,verb,to commit suicide,intransitive
eléfénatceh,verb,"prideful, arrogant, condescending, self-important, having high esteem for oneself;
to be proud, arrogant, showing off","stative, refl. marker"
eléfukka',noun,"clothes, clothing (sp. var. eléfuka)",
eléfukka' aláta',noun,"overcoat, lining or layer of clothing",
eléfukka' áseléle',noun,clothes dryer,
eléfukka' áyatcéfa',noun,"place where clothes are washed: washing machine, laundry, cleaners, etc.",
eléfukka' dapa',noun,"shirt, blouse, t-shirt",
eléfukka' lũbu',noun,"shirt, jacket, coat",
eléfukka' lũbu' faláya',noun,"overcoat, full-length coat",
eléfukka' yuskulúle',noun,"jacket, sweater, vest",
éleh,verb,"to fly (of two or more birds, etc.), fly around (of debris, etc)","intransitive, plural"
elétceh,verb,"to stand (one) up, erect; to stop (a person, etc.), park (a car, etc.)",transitive
életceh,verb,"to make (papers, etc). fly around",transitive
eléyemme',noun,"pride, arrogance, self-confidence",
elha',noun,dancer; a dance,
elhah,verb,to dance,intransitive
elhkúleh,verb,"(three or more) to go;
to be moving around repeatedly, be in motion, be moving (of a baby in the womb or of the ground)","intransitive, triplural"
elhkúletceh,verb,"to move (someone, as to wake them up)",transitive
elhpak,noun,"daily bread, food, spiritual food, meal
lunch",
elhpeta',noun,"per capita payment, dividend, annuities (allowance, grant, stipend, etc.), monthly payment, a gift, donation, ration",
elhtalúak,noun,"song (older term), a note in music",
elle' áyása',noun,"morgue, funeral home",
elle' sále,noun,hearse,
elleh,verb,"dead, deceased;
to be dead, deceased",stative
ellẽpa',noun,"food, meal",
elletceh,verb,"to numb, deaden (an area for surgery), paralyze",transitive
elúha',noun,thunder,
elúhah,verb,"to thunder, to intonate",intransitive
emah,verb,"to give, present (something) to (someone)",transitive
emahwah,verb,"to imagine, presume, guess, suspect, suppose (includes the nasal marker em-: amahwa 'I imagine', tcemahwa 'you imagine', etc.)",dative
emayyah,verb,"to surpass, outdo (someone), exceed, defeat, overpower, conquer, have overcome, have prevailed, be greater than, be superior (includes the nasal marker em-: amayya tuk 'he/she surpassed me', tcemayya tuk 'he/she surpassed you', etc.)","transitive, object is dative"
emayyatceh,verb,"to surpass, defeat (someone), beat (includes the nasal marker em-)","transitive, object is dative"
emehakseh,verb,"to forget, have a lapse in memory (includes the nasal marker em-: amehakse 'I froget', tcemehakse 'you forget', etc.) (also emahakse)",dative
emettah,verb,"young (of one), to be young","stative, singular"
emetthua',noun,"young people, youths, young ones, young animals",plural
emetthuah,verb,to be young (of two or more);,"stative, plural"
emmah,verb,"toward (a place), in the direction of;
about (a topic), concerning, pertaining to",intransitive
emmak,noun,"now, the present, modern, this (used with a time word)",
emmeh,verb,"pro. his, hers, theirs","stative, dative marker"
emũma',noun,"his/her characteristic, trait, habit",
emúmah,verb,"natural, born that way;
naturally small",stative
emúmaka',noun,"experience;
experiment",
emúmatceh,verb,"to get used to (an activity, etc.)",transitive
emúnah,verb,"new, fresh, newborn
to be new",stative
emúnaseh,noun,"n. now, right now",
emúnatceh,verb,"to be making (something) new, renovate, rejuvenate",transitive
emunnah,verb,"add once, one time",stative
emusána',noun,"the forehead, his/her forehead (includes the nasal prefix em-: amusána 'my forehead', tcemusána 'your forehead', etc.)",
emusána' ése',noun,"eyebrows, his/her eyebrows",
